cluster,geoid,name,median_age,white_pct,total_pop,median_income,college_degree_pct,unemploy_pct,latitude,longitude,geometry,nearest_hospital_idx,nearest_hospital_dist,nearest_hospital_beds,nearest_firestation_idx,nearest_firestation_dist,nearest_hospital_bed_per_thousand
2,510010901011,"Block Group 1, Census Tract 901.01, Accomack County, Virginia",62.8,99.10614525139664,895,60026.0,24.751861042183624,0.0,37.939472,-75.35534,POINT (-8388518.077354 4570878.761611423),24,53015.23655707858,52.0,29882,2694.2839182651574,1.2893307877315217
2,510010901012,"Block Group 2, Census Tract 901.01, Accomack County, Virginia",50.3,94.311377245509,1002,67121.0,23.39667458432304,14.91395793499044,37.92279,-75.369473,POINT (-8390091.35571738 4568524.36379137),24,50307.41260037915,52.0,29882,1756.128010139318,1.2893307877315217
2,510010901021,"Block Group 1, Census Tract 901.02, Accomack County, Virginia",67.0,98.61460957178842,794,43929.0,24.51657458563536,12.97071129707113,37.929723,-75.37545,POINT (-8390756.712313853 4569502.781116974),24,50415.21925146477,52.0,29882,573.183681258616,1.2893307877315217
2,510010901022,"Block Group 2, Census Tract 901.02, Accomack County, Virginia",30.3,86.36363636363636,594,23990.0,24.92063492063492,0.0,37.914678,-75.39101,POINT (-8392488.843590595 4567379.677578483),24,47725.30401206902,52.0,29882,2973.994040304154,1.2893307877315217
2,510010902011,"Block Group 1, Census Tract 902.01, Accomack County, Virginia",53.3,77.89203084832906,1167,31606.0,10.18808777429467,6.435643564356436,37.952117,-75.494588,POINT (-8404019.09380798 4572663.757450733),24,43706.55281403913,52.0,29856,3639.5835958486846,1.2893307877315217
2,510010902012,"Block Group 2, Census Tract 902.01, Accomack County, Virginia",61.2,100.0,1833,75568.0,17.716827279466273,7.272727272727272,37.988094,-75.427175,POINT (-8396514.712975135 4577744.030882472),24,52289.30657791717,52.0,30118,5303.947874808132,1.2893307877315217
2,510010902021,"Block Group 1, Census Tract 902.02, Accomack County, Virginia",40.7,25.894378194207835,1174,51019.0,3.9719626168224296,0.0,37.964526,-75.553893,POINT (-8410620.896209477 4574415.737742834),24,41807.33893851112,52.0,29655,2997.7584418032616,1.2893307877315217
2,510010902022,"Block Group 2, Census Tract 902.02, Accomack County, Virginia",47.5,61.5009746588694,1026,49066.0,13.724304715840388,13.684210526315791,37.906795,-75.54163,POINT (-8409255.785293879 4566267.426539473),24,35464.17946613951,52.0,29580,3963.248471315462,1.2893307877315217
2,510010902023,"Block Group 3, Census Tract 902.02, Accomack County, Virginia",54.9,79.33673469387756,784,65109.0,13.245033112582782,0.0,37.914636,-75.504314,POINT (-8405101.787175436 4567373.751277182),24,38826.94187472942,52.0,29580,1949.769328020181,1.2893307877315217
2,510010903001,"Block Group 1, Census Tract 903, Accomack County, Virginia",61.2,78.15126050420169,476,60417.0,7.08955223880597,0.0,37.926009,-75.673428,POINT (-8423927.471541451 4568978.632625976),24,32409.749743756816,52.0,29700,5265.371446458521,1.2893307877315217
